participant_ID,total_blocks,valid_blocks,invalid_blocks,excluded,fa_rate
232,3,3,0,False,0.1111
235,3,3,0,False,0.1528
236,3,3,0,False,0.1042
241,3,3,0,False,0.1667
242,3,3,0,False,0.0208
243,3,3,0,False,0.0486
245,3,2,1,False,0.0938
246,3,3,0,False,0.0486
247,3,3,0,False,0.0278
249,3,3,0,False,0.1806
251,3,3,0,False,0.3056
252,3,3,0,False,0.0694
253,3,3,0,False,0.1042
254,3,3,0,False,0.2222
256,3,3,0,False,0.1389
257,3,3,0,False,0.0972
258,3,2,1,False,0.0
259,3,3,0,False,0.2014
260,3,3,0,False,0.0556
261,3,3,0,False,0.1806
262,3,3,0,False,0.0417
263,3,3,0,False,0.1181
264,3,3,0,False,0.0972
266,3,3,0,False,0.0903
267,3,3,0,False,0.1528
269,3,3,0,False,0.0347
270,3,3,0,False,0.0069
271,3,0,3,True,
273,3,3,0,False,0.0417
276,3,3,0,False,0.0903
277,3,3,0,False,0.1736
279,3,3,0,False,0.0694
280,3,3,0,False,0.0764
281,3,3,0,False,0.3194
282,3,3,0,False,0.1806
283,3,3,0,False,0.0417
285,3,3,0,False,0.0417
286,3,3,0,False,0.0903
289,3,3,0,False,0.1042
290,3,3,0,False,0.0694
292,3,3,0,False,0.2986
293,3,3,0,False,0.0625
294,3,2,1,False,0.1979
295,3,3,0,False,0.0347
296,3,3,0,False,0.0903
297,3,2,1,False,0.2292
298,3,3,0,False,0.0694
299,3,0,3,True,
302,3,3,0,False,0.1528
303,3,3,0,False,0.0417
304,3,3,0,False,0.1458
305,3,3,0,False,0.1111
307,3,3,0,False,0.1458
308,3,3,0,False,0.2361
309,3,3,0,False,0.0347
310,3,3,0,False,0.0764
311,3,3,0,False,0.1042
312,3,3,0,False,0.125
313,3,3,0,False,0.3333
314,3,3,0,False,0.1111
316,3,3,0,False,0.125
317,3,3,0,False,0.1875
318,3,3,0,False,0.1042
322,3,3,0,False,0.1806
323,3,3,0,False,0.0486
325,3,3,0,False,0.0903
326,3,3,0,False,0.1111
327,3,3,0,False,0.0833
328,3,3,0,False,0.1111
329,3,3,0,False,0.0764
330,3,3,0,False,0.1806
331,3,3,0,False,0.0486
333,3,3,0,False,0.2986
339,3,3,0,False,0.2639
340,3,3,0,False,0.0556
342,3,3,0,False,0.3125
343,3,3,0,False,0.2292
344,3,3,0,False,0.0556
346,3,2,1,False,0.2917
350,3,3,0,False,0.0625
351,3,3,0,False,0.1736
354,3,3,0,False,0.0694
355,3,3,0,False,0.0556
356,3,3,0,False,0.0972
361,3,3,0,False,0.0764
362,3,3,0,False,0.0833
363,3,3,0,False,0.1319
364,3,3,0,False,0.0347
366,3,3,0,False,0.1806
367,3,2,1,False,0.3229
368,3,3,0,False,0.0417
369,3,3,0,False,0.0972
370,3,3,0,False,0.1458
371,3,3,0,False,0.0694
372,3,3,0,False,0.0625
373,3,2,1,False,0.2917
374,3,3,0,False,0.1458
375,3,3,0,False,0.0625
377,3,3,0,False,0.1806
378,3,3,0,False,0.0764
379,3,3,0,False,0.0903
380,3,3,0,False,0.0556
381,3,3,0,False,0.2431
382,3,3,0,False,0.0903
383,3,3,0,False,0.1667
384,3,3,0,False,0.0625
386,3,3,0,False,0.0486
390,3,3,0,False,0.1111
391,3,3,0,False,0.0764
392,3,3,0,False,0.1806
395,3,3,0,False,0.0903
396,3,3,0,False,0.0417
397,3,3,0,False,0.0417
398,3,3,0,False,0.1111
