PID,total_blocks,valid_blocks,invalid_blocks,excluded
232,3,3,0,False
235,3,3,0,False
236,3,3,0,False
241,3,3,0,False
242,3,3,0,False
243,3,3,0,False
245,3,2,1,False
246,3,3,0,False
247,3,3,0,False
249,3,3,0,False
251,3,3,0,False
252,3,3,0,False
253,3,3,0,False
254,3,3,0,False
256,3,3,0,False
257,3,3,0,False
258,3,2,1,False
259,3,3,0,False
260,3,3,0,False
261,3,3,0,False
262,3,3,0,False
263,3,3,0,False
264,3,3,0,False
266,3,3,0,False
267,3,3,0,False
269,3,3,0,False
270,3,3,0,False
271,3,0,3,True
273,3,3,0,False
276,3,3,0,False
277,3,3,0,False
279,3,3,0,False
280,3,3,0,False
281,3,3,0,False
282,3,3,0,False
283,3,3,0,False
285,3,3,0,False
286,3,3,0,False
289,3,3,0,False
290,3,3,0,False
292,3,3,0,False
293,3,3,0,False
294,3,2,1,False
295,3,3,0,False
296,3,3,0,False
297,3,2,1,False
298,3,3,0,False
299,3,0,3,True
302,3,3,0,False
303,3,3,0,False
304,3,3,0,False
305,3,3,0,False
307,3,3,0,False
308,3,3,0,False
309,3,3,0,False
310,3,3,0,False
311,3,3,0,False
312,3,3,0,False
313,3,3,0,False
314,3,3,0,False
316,3,3,0,False
317,3,3,0,False
318,3,3,0,False
322,3,3,0,False
323,3,3,0,False
325,3,3,0,False
326,3,3,0,False
327,3,3,0,False
328,3,3,0,False
329,3,3,0,False
330,3,3,0,False
331,3,3,0,False
333,3,3,0,False
339,3,3,0,False
340,3,3,0,False
342,3,3,0,False
343,3,3,0,False
344,3,3,0,False
346,3,2,1,False
350,3,3,0,False
351,3,3,0,False
354,3,3,0,False
355,3,3,0,False
356,3,3,0,False
361,3,3,0,False
362,3,3,0,False
363,3,3,0,False
364,3,3,0,False
366,3,3,0,False
367,3,2,1,False
368,3,3,0,False
369,3,3,0,False
370,3,3,0,False
371,3,3,0,False
372,3,3,0,False
373,3,2,1,False
374,3,3,0,False
375,3,3,0,False
377,3,3,0,False
378,3,3,0,False
379,3,3,0,False
380,3,3,0,False
381,3,3,0,False
382,3,3,0,False
383,3,3,0,False
384,3,3,0,False
386,3,3,0,False
390,3,3,0,False
391,3,3,0,False
392,3,3,0,False
395,3,3,0,False
396,3,3,0,False
397,3,3,0,False
398,3,3,0,False
